Time post-injection (months),New Designation,iMOs,iMOp,iAId,iPL,iORBm,iORBvl,cMOs,cMOp,cAId,cPL,cORBm,cORBvl,iACA,iM,iSSp,iGU,iCLA,iEPd,iPIR,iACB,iOT,iCP,iLS,iMS,cACA,cM,cSSp,cGU,cCLA,cEPd,cPIR,cACB,cOT,cCP,cLS,cMS,iRSP,iSSp-b,iSSs,iVISC,iAIp,iEP,iHipp,iMD,iLD,iVL,iVM,iTC,iCEA,iBLAa,iBMA,cRSP,cSSp-b,cSSs,cVISC,cAIp,cEP,cHipp,cMD,cLD,cVL,cVM,cTC,cCEA,cBLAa,cBMA,iVIS,iAUD,iTEa,iECT,iPERI,iENTl,iBLAp,iCOA,iPT,iCT,iSN,iMM,iDpM,iVTA,iPAG,cVIS,cAUD,cTEa,cECT,cPERI,cENTl,cBLAp,cCOA,cPT,cCT,cSN,cMM,cDpM,cVTA,cPAG,iSUM,cSUM,iVISp,iENT,iPS,iSC,iMRN,iPRN,cVISp,cENT,cPS,cSC,cMRN,cPRN
1,NTG,0.014842145,0,0.0036289,0.0066497,0,0.005878406,0.001134105,0.00065187,0.001712224,0,0,0.000807473,0.000869505,0.002045472,0,0.0007318,0,0,0.000400307,1.77164E-05,0.00060254,0.00889797,0,0,0,0.000579573,0.005422044,0,0,0,0.000202102,6.82395E-05,0,0.007173335,0,0,0.000131058,0.000475464,0.00088358,0.000368748,0,0,0,0,0,0,0.013552108,4.75162E-05,0,0.00850861,0.000584719,0.001009814,8.93678E-05,0.000163142,0.00052323,0.0035426,0.000336381,0,0,0.004778925,0,0,0.000598715,0,0.000361817,0.001600998,0.000146121,0,0.001537562,0.00054683,0.001381788,0,0,0,0,0,0.01351664,0,0,0.00447681,0,0,0,0.000566702,0,0.000976715,0.00133946,0,0,0,0,0,0,0,0,0,0,0,0,0.00321807,0,0,0.00281633,0,0,0.000078224,0.000163599,0,0,0.000107902
1,NTG,0.227463,0.01637225,0.139844055,0.044689435,0.002673399,0.016176522,0.026858965,0.04312215,0.0983346,0.009910347,0.004314864,0.028391935,0.01308955,0.007517903,0.000327849,0.002972167,0,0,0.007697926,0,0.000438091,0.001002809,8.30755E-05,0,0.000105818,0.00043654,0.000103101,0.009099966,0,0,0.000546771,0,0.003852505,0.000136691,0,0,0,5.74165E-05,0.00081539,0.000638785,0.00115815,0,0,0.001037616,0,0,0.000376415,0,0,0.022121755,0.001808278,0.00080266,0.000150745,0.00013446,0,0.004505765,0.013021825,0,0.001632692,0,0,0,0,0,0.022762875,0,0.001250135,0.000212886,0.001180293,0.005895255,0.001932073,0.003682802,0.26090925,0.02395728,0.002823975,0,0.04060728,0,0,0.01031702,0,0,0,0.00662915,0.000602678,0.00294742,0.004776475,0,0,0,0,0.000471026,0,0,0,0,0,0,0.000063161,0.005560235,0.000437061,0,0.00274183,0.00048335,0,0,0,0,0,0.000070822
1,NTG,0.26633468,0.00869148,0.028367347,0.092924027,0.009292755,0.009952607,0.021156635,0.000372443,0.023335404,0.000468883,0,0.003326844,0.003588668,0.012032641,0.000096457,0.000145606,0.00422565,0,0.014208935,7.35725E-05,0.00367172,0.00084523,0,0,0,0.001896145,0.000147339,0.008429366,0,0,0.026168345,0.000358932,0.0056821,0.000263842,0,0,0.008907067,0.00824528,0.01668502,0.00098536,0.04079351,0.00569395,0.000279142,0,0.00164716,0.01660202,0.000169612,0,0.002616155,0.009636325,0.00087645,0.000912525,0.0316391,0.041341944,0.040793791,0.009477651,0.036499675,0,0.000385008,0.0191578,0.000212737,0.000137295,0,0.00072665,0.181916357,0,0.000768059,0.002319095,0.000864683,0.014717033,0.015036423,0.010253361,0.12464405,0.01277638,0,0,0.01819959,0,0,0.011197995,0,0.001461971,0.000139733,0.000543942,0.005077938,0.004490053,0.005313161,0,0.000985905,0,0,0,0,0,0,0,0,0,0.000971331,0.002170978,0,0,0.002642185,0.000739058,0.000193036,0.002246615,0,0.000205536,3.83158E-05,7.89295E-05
1,NTG,0.04236193,0.00523812,0.04491695,0.021160795,0.00288022,0.006238018,0.021431337,0.002026845,0.008200333,0.008785365,0,0.001853207,0.006234223,0.009903869,0.010023075,0.01982512,0,0,0.025798341,0.004331813,0.00141848,0.00205715,0.000294444,0,0,0.000936,0.009568895,0.0027983,0,0,0.002733253,0.000309193,0,0.0002788,0,0,0.000489828,0.000515749,0.000308452,0,0.000586735,0,7.58103E-05,0,0,0.000476156,0.0182375,0.000428096,0.00896178,0.003461067,0.000683263,0.002933611,0,0.000193398,0.004704155,0.002168715,0.00253908,0,0.00104121,0,0,0.000804075,0.000131331,0,0.003532297,0.001428055,0.00068422,0.001616003,0.002797329,0.034763025,0.050260235,0.023079995,0.2850924,0.03421557,0,0.013223061,0.058945755,0,0,0.02325835,0,0.000583371,0.000822465,0.00543987,0.01336615,0.011150253,0.01069681,0,0,0,0,0.000305492,0,4.77008E-05,0,0.000220204,0.0105461,0,0,0.00027328,0.000178707,0,0.000832598,0.000566225,0.000539627,0,0.001797744,0,0,0
3,NTG,0.2262382,0.035277485,0.047919275,0.036376505,0.005736093,0.039699825,0.084717285,0.028549363,0.070628841,0.033225685,0,0.032000804,0.04019611,0.056476843,0.017626845,0.03662232,0.0519526,0.023115197,0.029860867,0.00066412,0,0.019537128,0,0.00207723,0.005834967,0.011261654,0.003840049,0.02213223,0.008285465,0.00046212,0.000642246,0.0012855,0,0.002546787,0,0.000832067,0.03532483,0.0638941,0.14918245,0.1859142,0.15906045,0.01997948,0.0010685,0.016826455,0,0.00143999,0.001441885,0.002238809,0.004743207,0.2468351,0.002169686,0.01786545,0.000915154,0.002264039,0.00853554,0.044858215,0.000760925,0,0.000132727,0,0.000212732,0,0,0.00057646,0.07213125,0,0.011313907,0.02168094,0.034537133,0.05419245,0.053257328,0.0963862,0.02729096,0.0677284,0,7.84675E-05,0.16271515,0.00692165,0.000530419,0.01424005,0.001646583,0.001678463,0.001136534,0.00290879,0.003203925,0.005731583,0.021996245,0,0.002739489,0,0.00430648,0.001672835,0,0.002289858,0,0,0,0.00083535,0.006864711,0.01540448,0.00526039,0,0.000582955,0.002342118,0.001511542,0.005214703,4.70214E-05,0.000885595,0,0.000508075
3,NTG,0.26513635,0.033279205,0.03616722,0.01479254,0.007199495,0.02261884,0.1245451,0.040443425,0.04993365,0.01372536,0.005087219,0.07704205,0.0078047,0.087570039,0.007539451,0.002404301,0,0.00456668,0.104408241,0.000615015,0.00537988,0.00926131,0,0,0.00192955,0.01691178,0.004624543,0.034296985,0.016584875,0,0.008490622,0.00074162,0.000434026,0.002268817,0,0,0.071241635,0.07316765,0.1417644,0.3851087,0.3275463,0.02128339,0,0.010669593,0.010542095,0,0.0225873,0.006885385,0.00067895,0.05599535,0.019472172,0.004672768,0.006000979,0.012185816,0.011447845,0.018361103,0.00492308,0,0.000275018,0.00101786,0.000555775,4.74121E-05,0.000188497,0.0064875,0.15791715,0.000165627,0.0132194,0.00434396,0.053657783,0.068760928,0.067567638,0.07441713,0.08738265,0.081013285,0,0.000768961,0.08380755,0.008030025,0.041040735,0.005934446,0,0.001567031,0.002678227,0.003972106,0.00445926,0.004223213,0.02434108,0,0.000106895,0,0.000255494,0,0.066521545,0,0,0.001713423,0.0052954,0.000465834,0.006160565,0.012056995,0.000396483,0.000140964,0.001630519,0,0.000123123,0.000732593,0,0,0.000251321,0
3,NTG,0.1664917,0.07256125,0.031884055,0.006134319,0.003214424,0.013136917,0.03770107,0.029983495,0.0189736,0,0,0.008650548,0.0080777,0.017929145,0.016505415,0.021617275,0.03377249,0,0.000272816,0.000267976,0,0.003023443,0.00092496,0.000208752,0,0.004182758,0.01073588,0.004628745,0.00761282,0,0.000018792,0.000265341,0,0.000612259,0.000460861,0,0.000647178,0.006307476,0.01379795,0.02635692,0.0448124,0,5.48606E-05,0.00285799,0,0,0,0.000572201,0.00313691,0.05697065,0.00020037,0,0,0.000512621,0.003651631,0.059593125,0,0,0,0,0,0.000313226,0,0.000155837,0.04075233,0,0.0023948,0.001396101,0.007425943,0.001308036,0.000449864,0.004010453,0,0,0,0,0.0828662,0,0,0.04758045,0,8.97695E-05,0,0.005010913,0.014431305,0.0145728,0,0,0,0,0,0,0,0,0,0,0,0,3.92404E-05,0.004208465,0.000274821,0,0,0.001196338,0.000150749,0.00087684,0.000575062,0,3.50873E-05,0
3,NTG,0.11078715,0.010213045,0.007480451,0.016690325,0.00822587,0.024282868,0.024719455,0.001127455,0.02018811,0.0398545,0.0038859,0.015378985,0.006687349,0.0173917,0.02034896,0.07655975,0.017177205,0.001420415,0.000342831,6.24255E-05,0,0.005720036,0,0,0.001457024,0.006225678,0.005916478,0.008463165,0,0,0,2.45893E-05,0,0.000743862,0,0,0.00689378,0.009019425,0.03774545,0.00822219,0.02071298,0.001883025,0.000637676,0.000565539,0,0,0.000414096,0.000121846,0.000124135,0.26047775,0.00378649,0.000322166,0.001001301,0.00517928,0,0,0,0.000119966,0,0.00376842,0.000212901,0.000153159,0.000135401,0,0,0,0.004916995,0.00296215,0.040573365,0.010234191,0.00119673,0.00381154,0,0,0,0,0.15305495,0,0,0.01026556,0,0.000389094,0.000197804,0.003062298,0.005060275,0.005466905,0.003090104,0,0,0,0,0.000391298,0,0.000079267,0,0,0,0,0.002408736,0.006025666,0,0,0.000032414,0.00030782,0.000925218,0.001418773,0.000379089,9.47995E-05,0,0
3,NTG,0.06827842,0.013560685,0.00679659,0.00127935,0.001371851,0.020368103,0.021662733,0.012343791,0.012465081,0.012678515,0.00125967,0.004459739,0.003743552,0.022053691,0.015404785,0.040775595,0,0,0.00529779,0,0,0.005736436,0,0.00148313,0.001225574,0.010065958,0.00779226,0.010198225,0,0,0.000728298,0,0,0.001676846,0,0,0.01096496,0.008771212,0.006891617,0.004069846,0.045269805,0,0,0.001166402,0,0.000336786,0.000285943,0.000243106,0.002526645,0.00054041,0.00067832,0.002048063,0.001949027,0.002291306,0.015410445,0.00296291,0,0.000280043,0.000694914,0,0,0,0,0,0.000734765,0.00309876,0.00830344,0.025829117,0.017161773,0.002197222,0.004934908,0.02570081,0,0.002573225,0.002474152,0.0954276,0,3.71468E-05,0,0,0.000514627,0.00045347,0,0.002366945,0.003033963,0.000811118,0,0,0.000221089,0,0.000125451,0,4.03746E-05,0,0,0,0,0.00582788,0.001857213,0.004023508,0.001212423,0,0,0.000436663,0,0,0,0,0,2.29461E-05
3,NTG,0.12172775,0.02237345,0.02465553,0.00834284,0.005910509,0.030595605,0.01635408,0.006356481,0.01464741,0.002129398,0.0064471,0.00951373,0.02403853,0.03015074,0.006498027,0.022670655,0.001606015,0,0.000277722,0.001985483,0.01234078,0.008640767,0.000198148,0.00784602,0.0108932,0.005156007,0.01657285,0.006661535,0,0,0,0.000233305,0.000216421,0.0002543,0,0.000871155,0.008768841,0.008493675,0.027870855,0.0292517,0.013987893,0.002301445,0.002884672,0.000770592,0,0,0.000127117,0,0,0.007101708,0,0,0.001010998,0.002126702,0.004346083,0.023238935,0,0.00023213,0.003061045,0,0,7.13815E-05,0,0,0.02770649,0,0.002693623,0.00572679,0.002382483,0.028942938,0.021583045,0.001478415,0,0.003338165,0,0.000247797,0.288016,0,0,0.011810535,0.003243713,0.000179973,0.000896939,0.001901197,0.00197824,0.00947038,0.000832024,0.000485131,0,0,0,0,0,0,0,0.000224947,0.01453585,0,0,0.004152083,4.20524E-05,8.74185E-05,0.001710972,0,0,0.000661508,0,0,0,0.020382419
6,NTG,0.13954775,0.0551444,0.03846413,0.02356035,0.004000075,0.041353155,0.0497127,0.02535658,0.0476225,0.00901676,0.00882114,0.007125005,0.008108317,0.035893978,0.009525175,0.02997409,0.03533335,0.003365755,0.045019523,0.008334666,0.00731285,0.013165601,0.01200621,0,0.006054488,0.014725478,0.0313846,0.02855604,0,0.001528865,0.009597834,0.00532079,0.001276195,0.005259814,0.000143616,0,0.008560822,0.008710052,0.02155814,0.05144115,0.04172342,0,0.000467043,0.013596875,0.000447844,0.000479998,0.002206479,0,0.003538055,0.2758133,0,0.003940268,0.004990951,0.002606361,0.028190735,0.03892705,0.000369541,7.26229E-05,0,0.02427902,0.00031284,0.000188745,0.000089441,0.000931043,0.1886331,0.021366805,0.00610441,0.00171469,0.003064988,0.010079333,0.023674163,0.02629594,0.00575293,0.00137832,0.001061108,0.0304378,0.0461365,0.000688255,3.66607E-05,0.01069984,0.000950104,0.002009623,0,0.000509695,0.00316354,0.014010547,0.00941404,0.0206863,0,0.000830625,0.01658434,0.00081321,0.00074583,4.50317E-05,0,0,0,0,0.0012335,0.005889316,0,3.08033E-05,0.00256008,0.000557791,0,2.97424E-05,0.000546657,0,0.0006799,0.000213986
6,NTG,0.11682705,0.017634384,0.015607605,0.021779752,0.0148308,0.01023213,0.0548538,0.004353158,0.01839521,0.005723729,0.02315435,0.010843898,0.03962335,0.039695085,0.00460856,0.002137862,0.01160989,0.00318915,0.003635852,0.003787889,0,0.014616298,0.01436735,0.001292175,0.009641616,0.015706255,0.011703265,0.05879405,0,0,0.009094942,0.001653685,0,0.003987769,0,0.002167187,0.03049074,0.017895635,0.04771295,0.011533585,0.006411715,0.001215915,0.002064883,0.013383875,0,0.008576178,8.49765E-05,0.000251435,0.004432324,0.1092762,0.0024113,0,0.002366632,0.007085645,0.02180021,0.009380745,0,0.001579348,0.00060656,0.00223558,0.000192549,0.001523769,0.000192034,0.005938555,0.05095045,0.028774993,0.01270365,0.003148527,0.009642023,0.0070722,0.017565222,0.009605692,0,0.001828675,0.000226776,0.00293899,0.04267305,0.00018266,0.000164466,0.002326087,0.000717363,0.000039484,0.007808923,0.007153603,0.010904723,0.00077189,0.006296215,0,0,0.00128646,0.000313076,0.00105702,0,0.001001772,0,0.000217505,0.00102124,0,0.002949902,0.006330015,0.001756555,3.49532E-05,0.000083075,2.9006E-05,0.003436327,0.000706528,0.000054111,0,0.000288202,0.000903093
6,NTG,0.050864245,0.004189952,0.004889975,0.01902814,0.014178245,0.00245663,0.0119655,0.000327737,0.008826445,0.021572095,0,0.003857855,0.024099935,0.030174703,0.00698953,0.00420566,0.00315211,0.001133915,0.018824753,0.011750588,0,0.014183918,0.003907411,0.000586655,0.00062274,0.008061588,0.005047686,0.01437159,0,0,0.001536993,0.000811047,0,0.006002054,0,0,0.015363811,0.009710755,0.018214805,0.007790475,0.02242269,0.01063933,0.005795888,0.00065306,0,0,0.002076162,0.001872681,0.013947625,0.02706828,0.008132575,0.000861067,0.003504376,0.01243822,0,0.01163415,0,0.000574764,8.83955E-05,0,0,4.67277E-05,0,0,0.15490985,0.00379134,0.009579945,0.01259044,0.028714475,0.018450372,0.019611528,0.004703824,0.00711119,0.018319645,0,0.000284337,0.023541565,0,0,0.004487428,0.003542705,0.004159461,0.015434305,0.007199275,0.000680965,0.009916132,0.001584285,0,0.000412605,0,0,0,0,0.0002392,0,0,0,0,0.00779189,0.012063575,0.001432987,0.001128494,0.000714008,0.000107339,0.002718586,0,0,0,0,0
6,NTG,0.11418355,0.052963865,0.04776415,0.002244305,0.000164236,0.020000421,0.05351535,0.015942665,0.020595565,0,0.00440966,0.013097943,0.020274536,0.030771523,0.011873075,0.0074046,0,0,0.001855274,0.00390248,0,0.038630262,8.10175E-05,0.00053177,0.002406038,0.010362443,0.019034535,0.012286795,0,0.00118696,0.011264476,0.003625471,0.000839455,0.005522795,0,0.00039283,0.003400011,0.008839834,0.01761061,0.014235907,0.000974099,0.000291768,0.000997849,0.004893313,0,0,0,0.000241174,0.000178319,0.098387184,0.002987417,0.00255754,0.000454146,0.004801631,0.011595605,0.02000179,0,3.79483E-05,0.000129511,0,0,0.000956661,0,0,0.06768285,0.000182933,0.008965885,0.000264874,0.00500841,0.012774663,0.02623361,0.0079977,0,0.000499887,0,0.005220643,0.01330571,0,0.000089459,0,0,0,0.007722605,0.002812963,0,0,0.001411504,0,0,0,0.00249217,0,0,0,0.000212889,0,0.000539885,0,0.00663094,0.006477818,0.007890773,0.00119126,3.07707E-05,0.000381062,0.000128537,0.00328507,0.00028388,0,0,3.43011E-05
6,NTG,0.1036848,0.024596175,0.02625605,0.00627986,0.002063413,0.027127818,0.041940865,0.021111235,0.025685665,0.002929053,0,0.013702505,0.01832717,0.029659933,0.020151175,0.022241315,0.02227455,0,0.001544236,6.91148E-05,0,0.021661938,0,0,0.00326977,0.020344845,0.005091542,0.008130688,0.00555011,0,0.000137724,0.000293295,0,0.001372342,0.000113862,0,0.02348056,0.014180425,0.0478846,0.005602876,0,0,0.000377371,0.000278031,0,0,0,0,0,0.1870122,0,0.005503564,0.007664067,0.02941025,0.026721405,0.005986283,0.00285815,0.000326722,0,0,0,0,0,0.000125989,0.0008334,0.001692877,0.01024076,0.005233845,0.025342025,0.00542334,0.003084148,0.01662596,0.01809045,0.008199075,0,0,0.006143257,0,0.000205061,0.006559724,0.001339358,0.003555656,0.000880808,0.010190598,0.000318565,0.0148463,0.00413359,0,0.000099621,0,0,0.00015628,0,0,0,0,0,0,0.001987532,0.01263678,0,0,0.000252672,2.47001E-05,0.00233148,0.001179873,0,0,0,1.92863E-05
6,NTG,0.1591686,0.019483865,0.007289958,0.033106105,0,0.064015625,0.030831525,0.0078786,0.01804917,0.014901145,0.00975187,0.032176462,0.0957138,0.060276445,0.02435549,0.05959825,0.005043625,0,0.003528905,0.001380225,0.012473945,0.0456838,0.004063675,0.000395647,0.02804711,0.021270638,0.012251235,0.03154312,0.008345485,0,0.000532641,0.00372752,0,0.005738355,0,0,0.01233212,0.03564215,0.04865035,0.029998525,0.01800095,0.003216925,0.001308313,0.02164707,0,0,0.000081655,0,0.003577264,0.04284925,0.004822907,0.0071167,0.001406904,0.002721543,0.000526805,0.01568025,0,0.000118483,0,0,0.001982475,0.00022844,0,0.00227461,0,0.001909257,0.02482755,0.008504475,0.038534415,0.0178362,0.031121858,0.02382315,0,0.000096936,0,0,0.0494038,0,0.00083439,0.0038057,0.001737136,0.00579065,0.00404359,0.034279855,0.031853875,0.019364553,0.005885808,0,0,0,5.73675E-05,0.000266939,0,0,0,0.003467243,0,0,0.018410375,0.01410318,0.002191059,0,0,0,0.00727382,0,0.000202459,0,0,0